n,train,val,test,best_val
107,0.002826844,0.01630367,0.03230752,0.0151761
108,0.003086547,0.01550763,0.03693401,0.0151761
109,0.002981096,0.01673827,0.03843585,0.0151761
110,0.002957305,0.01608763,0.03323588,0.0151761
111,0.002868572,0.01485794,0.03577158,0.01485794
112,0.002905124,0.01584768,0.04105394,0.01485794
113,0.002935581,0.01689469,0.03355405,0.01485794
114,0.002832716,0.0151509,0.03551156,0.01485794
115,0.002886074,0.0150913,0.03407583,0.01485794
116,0.002651223,0.01605265,0.03333269,0.01485794
117,0.002740474,0.01647123,0.03447755,0.01485794
118,0.002698556,0.01571741,0.03306682,0.01485794
119,0.002993102,0.01645581,0.03512671,0.01485794
120,0.002685651,0.01613606,0.03560515,0.01485794
121,0.002772275,0.01575392,0.03633521,0.01485794
122,0.002702716,0.01632584,0.03741187,0.01485794
123,0.002508715,0.01550322,0.03387031,0.01485794
124,0.002463414,0.01568475,0.03613535,0.01485794
125,0.002437775,0.01519007,0.03536052,0.01485794
126,0.002389109,0.01588245,0.0349626,0.01485794
127,0.002455595,0.01536847,0.03439856,0.01485794
128,0.002377901,0.01535006,0.03407353,0.01485794
129,0.002347686,0.01531428,0.03515468,0.01485794
130,0.002411668,0.01522367,0.03491789,0.01485794
131,0.002403004,0.01555453,0.03434329,0.01485794
132,0.002325718,0.01539955,0.03637398,0.01485794
133,0.002463699,0.01563495,0.03622859,0.01485794
134,0.002289455,0.01529119,0.03571611,0.01485794
135,0.00230139,0.01536688,0.03502026,0.01485794
136,0.00228007,0.01533478,0.03552338,0.01485794
