n,train,val,test,best_val
102,0.0003076254,0.001241998,0.0008361465,0.001218682
103,0.0002924625,0.001272185,0.0008725438,0.001218682
104,0.0002993644,0.001266993,0.0008960216,0.001218682
105,0.0003114578,0.001275661,0.0009094436,0.001218682
106,0.0002771966,0.001218906,0.0008332444,0.001218682
107,0.0002772166,0.001226077,0.0008381405,0.001218682
108,0.0002857788,0.001212329,0.0008360316,0.001212329
109,0.0002770314,0.001203533,0.000823596,0.001203533
110,0.0002769296,0.00121017,0.000818994,0.001203533
111,0.0002857283,0.001214625,0.0008303478,0.001203533
112,0.000273867,0.001211278,0.0008384465,0.001203533
113,0.0002788346,0.001220961,0.0008265989,0.001203533
114,0.000274029,0.001212641,0.0008236822,0.001203533
115,0.0002754269,0.001199293,0.0008182151,0.001199293
116,0.000281031,0.001200144,0.000818531,0.001199293
117,0.0002767326,0.001203852,0.000838607,0.001199293
118,0.0002769959,0.00120455,0.0008244999,0.001199293
119,0.0002796063,0.001210437,0.0008242503,0.001199293
120,0.0002849489,0.00119785,0.0008262322,0.00119785
121,0.0002808142,0.001195886,0.0008205855,0.001195886
122,0.0002747185,0.001188864,0.0008028134,0.001188864
123,0.0002743832,0.001190808,0.0008143326,0.001188864
124,0.000275386,0.001187475,0.0008242942,0.001187475
125,0.0002750494,0.001179644,0.000806781,0.001179644
126,0.0002759378,0.001176902,0.0008035913,0.001176902
127,0.0002736622,0.001179379,0.00080308,0.001176902
128,0.0002761226,0.001193054,0.0008080614,0.001176902
129,0.0002721328,0.00117469,0.0008113801,0.00117469
130,0.0002775906,0.001194263,0.000827379,0.00117469
131,0.0002727304,0.001181368,0.0008157367,0.00117469
132,0.0002783043,0.00117962,0.0008121265,0.00117469
133,0.0002786311,0.001179684,0.0008113929,0.00117469
134,0.0002721858,0.001184495,0.0008079628,0.00117469
135,0.0002737185,0.00117053,0.0008035,0.00117053
136,0.0002755223,0.001181208,0.0008144259,0.00117053
137,0.0002728439,0.001170427,0.0008083788,0.001170427
138,0.0002711061,0.001173787,0.0007995834,0.001170427
139,0.0002963268,0.001192407,0.0008162046,0.001170427
140,0.000274178,0.001169966,0.0008098021,0.001169966
141,0.0002814272,0.001173512,0.0008070353,0.001169966
142,0.0002745362,0.001155476,0.000815763,0.001155476
143,0.0002745536,0.001170872,0.0008072372,0.001155476
144,0.0002802446,0.001175793,0.0008174535,0.001155476
145,0.000272938,0.001171974,0.0008091,0.001155476
146,0.0002747551,0.00116434,0.0008025394,0.001155476
147,0.0002771854,0.001151016,0.0007731879,0.001151016
148,0.0002768834,0.001155021,0.0008019763,0.001151016
149,0.0002746423,0.001169639,0.0008007616,0.001151016
150,0.0002752589,0.001137242,0.0007968932,0.001137242
151,0.0002715645,0.001155362,0.0007943661,0.001137242
152,0.00027135,0.001143403,0.0008011851,0.001137242
153,0.0002785686,0.001156422,0.0007846932,0.001137242
154,0.0002750166,0.001152202,0.0008046758,0.001137242
155,0.0002741948,0.001145903,0.0007943824,0.001137242
156,0.0002713607,0.001160082,0.0007991927,0.001137242
157,0.0002737969,0.001144288,0.0007884723,0.001137242
158,0.0002765739,0.001152006,0.0007959303,0.001137242
159,0.0002758124,0.00113518,0.0007969647,0.00113518
160,0.0002717298,0.001140324,0.000778586,0.00113518
161,0.0002741901,0.001170986,0.0008025744,0.00113518
162,0.0002740222,0.001141387,0.0007873239,0.00113518
163,0.0002955553,0.001156394,0.0008012169,0.00113518
164,0.000271502,0.001151975,0.0007906616,0.00113518
165,0.0002784157,0.001152189,0.0007909372,0.00113518
166,0.0002842521,0.001150185,0.000798036,0.00113518
167,0.0002744327,0.001151984,0.0007839741,0.00113518
168,0.0002706243,0.001124196,0.0007877093,0.001124196
169,0.0002893768,0.001163191,0.0008104334,0.001124196
170,0.0002696742,0.001131372,0.0007917494,0.001124196
171,0.0002729006,0.001142046,0.0007860913,0.001124196
172,0.0002854634,0.001151703,0.0008046814,0.001124196
173,0.0002708544,0.001145193,0.0007773526,0.001124196
174,0.0002718489,0.001117651,0.00077315,0.001117651
175,0.0002697478,0.001133373,0.000789398,0.001117651
