,summary,config,name
1,"{'_runtime': 93523.57954675, '_step': 37, '_timestamp': 1746824834.6449273, '_wandb': {'runtime': 94905}, 'batch_size': 96, 'best_epoch': 37, 'best_test': 0.12714643386148272, 'best_train': 0.015006467138254454, 'best_val': 0.05937395120660464, 'epoch': 37, 'lr': 0.001, 'n_epochs': 200, 'test_loss': 0.12714643386148272, 'time': 92722.55239462852, 'train_loss': 0.015006467138254454, 'val_loss': 0.05937395120660464}","{'lr': 0.001, 'loss': 'mse', 'radius': 3, 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 15, 'decoder_mode': False, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",vdp_small_DS-01
2,"{'_runtime': 86632.248417178, '_step': 33, '_timestamp': 1746817978.0378392, '_wandb': {'runtime': 86633}, 'batch_size': 96, 'best_epoch': 18, 'best_test': 0.0591947396714536, 'best_train': 0.019338837410840724, 'best_val': 0.05733954427497728, 'epoch': 33, 'lr': 0.0003333333333333333, 'n_epochs': 200, 'test_loss': 0.0507139762833951, 'time': 85816.9646089077, 'train_loss': 0.01651136019321346, 'val_loss': 0.07982552678339065}","{'lr': 0.001, 'loss': 'mse', 'radius': 3, 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 15, 'decoder_mode': False, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'linearisation_mode': 'lpv', 'discretisation_mode': 'TU'}",vdp_small_DS-02
